,-1,826.00,408.00,0,14269
0,-1,826.00,408.00,0,14276
0,-1,826.00,408.00,0,14283
0,-1,826.00,409.00,0,14290
0,-1,826.00,408.00,0,14298
0,-1,826.00,409.00,0,14305
0,-1,825.00,408.00,0,14313
0,-1,825.00,408.00,0,14320
0,-1,825.00,408.00,0,14327
0,-1,825.00,409.00,0,14334
0,-1,825.00,408.00,0,14342
0,-1,826.00,408.00,0,14349
0,-1,826.00,408.00,0,14356
0,-1,826.00,409.00,0,14363
0,-1,826.00,408.00,0,14370
0,-1,826.00,408.00,0,14377
0,-1,826.00,408.00,0,14386
0,-1,825.00,408.00,0,14393
0,-1,826.00,408.00,0,14400
0,-1,826.00,408.00,0,14407
0,-1,827.00,408.00,0,14414
0,-1,825.00,408.00,0,14422
0,-1,826.00,408.00,0,14429
0,-1,825.00,409.00,0,14436
0,-1,826.00,408.00,0,14443
0,-1,826.00,408.00,0,14451
0,-1,825.00,408.00,0,14458
0,-1,826.00,408.00,0,14466
0,-1,826.00,408.00,0,14473
0,-1,826.00,409.00,0,14480
0,-1,826.00,408.00,0,14487
0,-1,826.00,408.00,0,14494
0,-1,826.00,408.00,0,14501
0,-1,826.00,408.00,0,14509
0,-1,826.00,408.00,0,14517
0,-1,825.00,408.00,0,14524
0,-1,826.00,408.00,0,14531
0,-1,825.00,408.00,0,14538
0,-1,826.00,408.00,0,14545
0,-1,826.00,408.00,0,14553
0,-1,826.00,408.00,0,14560
0,-1,826.00,408.00,0,14567
0,-1,826.00,408.00,0,14574
0,-1,825.00,408.00,0,14582
0,-1,825.00,408.00,0,14589
0,-1,825.00,409.00,0,14597
0,-1,826.00,408.00,0,14604
0,-1,826.00,408.00,0,14611
0,-1,826.00,408.00,0,14618
0,-1,826.00,408.00,0,14625
0,-1,826.00,408.00,0,14632
0,-1,825.00,408.00,0,14640
0,-1,826.00,408.00,0,14648
0,-1,825.00,408.00,0,14655
0,-1,826.00,408.00,0,14662
0,-1,826.00,408.00,0,14669
0,-1,826.00,408.00,0,14676
0,-1,826.00,408.00,0,14684
0,-1,826.00,408.00,0,14691
0,-1,826.00,408.00,0,14698
0,-1,826.00,408.00,0,14705
0,-1,826.00,409.00,0,14713
0,-1,825.00,408.00,0,14721
0,-1,825.00,408.00,0,14728
0,-1,827.00,408.00,0,14735
0,-1,826.00,408.00,0,14742
0,-1,826.00,408.00,0,14749
0,-1,826.00,408.00,0,14756
0,-1,826.00,408.00,0,14764
0,-1,826.00,409.00,0,14771
0,-1,826.00,408.00,0,14779
0,-1,825.00,408.00,0,14786
0,-1,825.00,408.00,0,14793
0,-1,825.00,408.00,0,14800
0,-1,826.00,408.00,0,14808
0,-1,826.00,408.00,0,14815
0,-1,826.00,408.00,0,14822
0,-1,826.00,409.00,0,14829
0,-1,826.00,408.00,0,14836
0,-1,826.00,408.00,0,14843
0,-1,825.00,408.00,0,14852
0,-1,825.00,408.00,0,14859
0,-1,826.00,408.00,0,14866
0,-1,826.00,408.00,0,14873
0,-1,826.00,408.00,0,14880
0,-1,826.00,409.00,0,14887
0,-1,826.00,408.00,0,14895
0,-1,826.00,408.00,0,14902
0,-1,826.00,408.00,0,14909
0,-1,826.00,408.00,0,14917
0,-1,825.00,408.00,0,14924
0,-1,825.00,408.00,0,14931
0,-1,826.00,408.00,0,14939
0,-1,826.00,408.00,0,14946
0,-1,826.00,408.00,0,14953
0,-1,826.00,408.00,0,14960
0,-1,826.00,408.00,0,14967
0,-1,826.00,408.00,0,14974
0,-1,825.00,408.00,0,14983
0,-1,825.00,408.00,0,14990
0,-1,826.00,408.00,0,14997
0,-1,826.00,408.00,0,15004
0,-1,826.00,408.00,0,15011
0,-1,826.00,408.00,0,15019
0,-1,826.00,408.00,0,15026
0,-1,826.00,408.00,0,15033
0,-1,826.00,408.00,0,15040
0,-1,826.00,408.00,0,15048
0,-1,826.00,408.00,0,15055
0,-1,825.00,408.00,0,15063
0,-1,826.00,408.00,0,15070
0,-1,825.00,408.00,0,15077
0,-1,826.00,408.00,0,15084
0,-1,826.00,408.00,0,15091
0,-1,826.00,408.00,0,15098
0,-1,826.00,408.00,0,15106
0,-1,826.00,408.00,0,15114
0,-1,826.00,408.00,0,15121
0,-1,825.00,408.00,0,15128
0,-1,826.00,408.00,0,15135
0,-1,826.00,408.00,0,15142
0,-1,825.00,408.00,0,15150
0,-1,826.00,408.00,0,15157
0,-1,826.00,408.00,0,15164
0,-1,826.00,408.00,0,15171
0,-1,826.00,409.00,0,15179
0,-1,826.00,408.00,0,15186
0,-1,825.00,408.00,0,15194
0,-1,826.00,408.00,0,15201
0,-1,826.00,408.00,0,15208
0,-1,826.00,408.00,0,15215
0,-1,826.00,408.00,0,15222
0,-1,826.00,408.00,0,15229
0,-1,826.00,408.00,0,15237
0,-1,826.00,408.00,0,15245
