134,825.00,408.00,0,149758
-32,134,825.00,408.00,0,149768
-32,134,825.00,408.00,0,149776
-32,134,826.00,408.00,0,149784
-32,134,825.00,408.00,0,149792
-32,134,826.00,409.00,0,149800
-32,134,825.00,408.00,0,149809
-32,134,825.00,408.00,0,149817
-32,134,825.00,408.00,0,149825
-32,134,825.00,408.00,0,149834
-32,134,826.00,409.00,0,149842
-32,134,825.00,408.00,0,149851
-32,134,825.00,409.00,0,149859
-32,134,825.00,408.00,0,149867
-33,134,825.00,408.00,0,149875
-33,134,825.00,408.00,0,149883
-33,134,825.00,408.00,0,149892
-33,134,825.00,408.00,0,149901
-33,134,825.00,408.00,0,149909
-33,134,825.00,408.00,0,149917
-33,134,826.00,408.00,0,149925
-33,134,825.00,409.00,0,149934
-33,134,825.00,409.00,0,149942
-33,134,825.00,408.00,0,149950
-33,134,825.00,408.00,0,149958
-33,134,825.00,408.00,0,149967
-33,134,825.00,408.00,0,149976
-33,134,826.00,408.00,0,149984
-33,134,825.00,408.00,0,149992
-33,134,825.00,408.00,0,150000
-33,134,825.00,408.00,0,150008
-33,134,825.00,408.00,0,150017
-33,134,825.00,408.00,0,150025
-33,134,825.00,408.00,0,150034
-33,134,825.00,408.00,0,150042
-33,134,825.00,408.00,0,150050
-33,134,825.00,408.00,0,150059
-33,134,825.00,408.00,0,150067
-33,134,826.00,408.00,0,150075
-33,134,825.00,409.00,0,150083
-33,134,825.00,408.00,0,150091
-33,134,825.00,408.00,0,150100
-33,134,825.00,408.00,0,150109
-33,134,825.00,408.00,0,150117
-33,134,825.00,409.00,0,150125
-33,134,825.00,408.00,0,150133
-33,134,825.00,408.00,0,150141
-33,134,825.00,408.00,0,150150
-33,134,825.00,408.00,0,150158
-33,134,825.00,409.00,0,150167
-33,134,825.00,408.00,0,150175
-33,134,825.00,409.00,0,150183
-33,134,825.00,408.00,0,150192
-33,134,825.00,408.00,0,150200
-33,134,825.00,408.00,0,150208
-33,134,825.00,408.00,0,150216
-33,134,824.00,409.00,0,150224
-33,134,825.00,408.00,0,150234
-33,134,825.00,408.00,0,150242
-33,134,825.00,408.00,0,150250
-33,134,825.00,408.00,0,150258
-33,134,826.00,408.00,0,150266
-33,134,825.00,408.00,0,150275
-33,134,825.00,408.00,0,150283
-33,134,825.00,408.00,0,150291
-33,134,825.00,408.00,0,150300
-33,134,825.00,408.00,0,150308
-33,134,825.00,408.00,0,150317
-33,134,825.00,408.00,0,150325
-33,134,826.00,408.00,0,150333
-33,134,825.00,408.00,0,150341
-33,134,825.00,408.00,0,150349
-33,134,825.00,408.00,0,150358
-33,134,825.00,408.00,0,150367
-33,134,825.00,408.00,0,150375
-33,134,825.00,408.00,0,150383
-33,134,825.00,408.00,0,150391
-33,134,826.00,408.00,0,150400
-33,134,825.00,409.00,0,150408
-33,134,825.00,408.00,0,150416
-33,134,825.00,408.00,0,150424
-33,134,825.00,408.00,0,150433
-33,134,825.00,409.00,0,150441
-33,134,825.00,409.00,0,150450
-33,134,826.00,408.00,0,150458
-33,134,825.00,408.00,0,150466
-33,134,825.00,408.00,0,150474
-33,134,825.00,408.00,0,150482
-33,134,825.00,408.00,0,150491
-33,134,825.00,408.00,0,150500
-33,134,825.00,408.00,0,150508
-33,134,825.00,409.00,0,150516
-33,134,825.00,408.00,0,150524
-33,134,825.00,409.00,0,150533
-33,134,826.00,408.00,0,150541
-33,134,826.00,408.00,0,150549
-33,134,825.00,408.00,0,150557
-33,134,825.00,409.00,0,150566
-33,134,825.00,409.00,0,150575
-33,134,825.00,408.00,0,150583
-33,134,825.00,408.00,0,150591
-33,134,825.00,408.00,0,150599
-33,134,825.00,409.00,0,150607
-33,134,825.00,408.00,0,150616
-33,134,824.00,408.00,0,150624
-33,134,826.00,408.00,0,150633
-34,134,825.00,408.00,0,150641
-34,134,825.00,409.00,0,150649
-34,134,825.00,408.00,0,150658
-34,134,825.00,409.00,0,150666
-34,134,826.00,409.00,0,150674
-34,134,825.00,408.00,0,150682
-34,134,825.00,408.00,0,150690
-34,134,825.00,408.00,0,150700
-34,134,825.00,409.00,0,150708
-34,134,826.00,408.00,0,150716
-34,134,825.00,408.00,0,150724
-34,134,825.00,409.00,0,150732
-34,134,825.00,409.00,0,150740
-34,134,825.00,408.00,0,150749
-34,134,825.00,408.00,0,150757
-34,134,825.00,408.00,0,150766
-34,134,825.00,409.00,0,150774
-34,134,825.00,408.00,0,150782
-34,134,825.00,409.00,0,150791
-34,134,825.00,408.00,0,150799
-34,134,825.00,409.00,0,150807
-34,134,825.00,409.00,0,150815
-34,134,825.00,408.00,0,150823
-35,134,825.00,409.00,0,150833
-35,134,825.00,408.00,0,150841
-35,134,826.00,409.00,0,150849
-35,134,826.00,408.00,0,150857
-35,134,826.00,408.00,0,150865
-35,134,825.00,409.00,0,150874
-35,134,825.00,408.00,0,150882
-35,134,825.00,408.00,0,150890
-35,134,826.00,408.00,0,150899
-35,134,825.00,408.00,0,150907
-35,134,826.00,409.00,0,150916
-35,134,825.00,408.00,0,150924
-35,134,825.00,409.00,0,150932
-35,134,825.00,408.00,0,150940
-35,134,825.00,408.00,0,150948
-35,134,825.00,408.00,0,150957
-35,134,825.00,408.00,0,150966
-35,134,826.00,408.00,0,150974
-35,134,825.00,408.00,0,150982
